Link,Tiêu đề,Diện tích,Hướng ban công,Hướng nhà,Khoảng giá,Mặt tiền,Nội thất,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Đường vào
https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-13-10/duy-t-3-tang-kien-co-san-dong-tien-30-trieu-thang-gia-tot-t-khu-vuc-quan-tan-binh-pr44568972,"Duy nhất - nhà 3 tầng kiên cố, sẵn dòng tiền 30 triệu/tháng. Giá tốt nhất khu vực. Sẵn sổ sang tên","100,6 m²",,,"16,48 tỷ",8 m,Full nội thất,Sổ đỏ/sổ hồng,8 phòng,,4 tầng,3 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/-18-10-2025-ban-giao-trc-tet-mua-truc-tiep-cdt-1pn-3-1-ty-2pn-3-6-ty-3pn-4-45ty-pr44314240,(25/11/2025) MTEastmark giá thật! Sổ sẵn. 1PN + 3.1 tỷ - 2PN 3.6 tỷ - 3PN 4.45tỷ-Ck 7% trực tiếpCĐT,63 m²,,,"3,1 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-nguyen-van-linh-phuong-tan-thuan-tay-1/-chinh-chu-tai-quan-7-ngay-cau-khu-che-xuat-pr44623891,"Đất nền chính chủ tại Nguyễn Văn Linh, Quận 7, ngay cầu Tân Thuận / Khu Chế Xuất Tân Thuận",70 m²,,Đông,"12,3 tỷ",5 m,,Sổ đỏ/ Sổ hồng,,,,10 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-tho-phuong-11-8/ban-hem-xe-hoi-dt-4x15m-4-tang-4pn-5wc-11-go-vap-pr44621503,"Bán nhà hẻm xe hơi DT 4x15m, 4 tầng, 4PN 5WC, Lê Văn Thọ Phường 11 Gò Vấp",61 m²,,,"7,1 tỷ",4 m,Cơ bản.,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,4 tầng,4 m
https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/anh-chi-co-thich-o-khu-dong-bo-nhu-the-nay-tai-be-gia-8-9-ty-pr42814858,Anh chị có thích ở khu nhà đồng bộ như thế này tại đường Huỳnh Tấn Phát Nhà Bè - giá 8.25 tỷ,80 m²,,,"8,25 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,3 tầng,6 m
https://batdongsan.com.vn/ban-dat-duong-le-thi-tam-xa-nhon-duc/hailongreal-van-luong-re-vao-36tr-m2-dt-9-4x26-5m-248m2-gan-4-truong-hoc-pr44616298,"Hailongreal: Đất Lê Văn Lương rẽ vào Lê Thị Tám: 36tr/m2, DT: 9.4x26.5m, 248m2, gần 4 trường học",248 m²,,,36 triệu/m²,,,Sổ đỏ/ Sổ hồng.,,,,12 m
https://batdongsan.com.vn/ban-nha-rieng-duong-ly-phuc-man-phuong-binh-thuan-3/-pho-vua-o-vua-kinh-doanh-duoc-so-rong-12m-cua-so-hong-hoan-cong-gia-7-9-ty-pr44610780,"Nhà phố vừa ở vừa kinh doanh được - Đường số rộng 12m của Lý Phục Man - Sổ hồng hoàn công Giá 7,9tỷ","44,4 m²",,,"7,9 tỷ","7,4 m",Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,2 tầng,12 m
https://batdongsan.com.vn/ban-dat-duong-33-1-phuong-linh-dong/ban-3-lo-thong-xe-tai-ngay-cho-tam-ha-ban-co-xung-quanh-deu-la-biet-thu-pr44613266,"Bán lô đất đường thông xe tải ngay chợ Tam Hà, đường bàn cờ xung quanh đều là biệt thự",75 m²,,,"6,5 tỷ",,,Sổ đỏ/ Sổ hồng.,,,,6 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/hailongreal-4-95ty-dt-6-4x12-5m-1-lau-hem-cao-rao-10-nam-khong-ngap-khu-1632-luong-pr44617049,"HailongreaL: Nhà 4.95tỷ DT: 6.4x12.5m, 1 lầu, hẻm cao ráo 10 năm không ngập, khu 1632/ Lê Văn Lương",80 m²,,,"4,95 tỷ",,,Sổ đỏ/ Sổ hồng.,4 phòng,4 phòng,2 tầng,7 m
https://batdongsan.com.vn/ban-dat-duong-so-12-phuong-hiep-binh-chanh/hang-hiem-dau-tu-16ty-lo-160m2-8x20m-ngay-tttm-gigamall-25-khu-ben-sog-p-hbc-pr44616666,"Hàng hiếm đầu tư - 16 tỷ - lô đất 160m2(8x20m) - ngay TTTM GigaMall - đường 12, khu bên sông P.HBC",160 m²,,,16 tỷ,8 m,,Sổ đỏ/ Sổ hồng.,,,,12 m
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-tu-toan-phuong-an-lac-6/bt-sat-ten-lua-lien-ke-quan-6-2-tang-4-x-8-vuong-vuc-nho-vi-tri-vang-kho-tim-pr44464654,BT - Sát Tên Lửa - Liền kề quận 6 (2 tầng - 4 x 8) vuông vức - nhà nhỏ vị trí vàng khó tìm,33 m²,,Nam,"3,55 tỷ",4 m,,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,2 tầng,4 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-16-3/dang-dau-tu-chdv-vip-thu-1-5ty-nam-6tang-20pn-hieu-suat-9-nam-gia-mem-pr44542758,"Đáng đầu tư! CHDV Vip thu ~1,5tỷ/năm - 6tầng - 20PN - Hiệu suất 9%/ năm - giá mềm",83 m²,,,"15,5 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,20 phòng,20 phòng,6 tầng,
https://batdongsan.com.vn/ban-dat-duong-ngo-chi-quoc-phuong-binh-chieu/ban-eu-thu-duc-3-82-ty-64m2-pr44613184,"Bán đất Ngô Chí Quốc, Bình Chiểu, Thủ Đức, 3,3 tỷ - 55.6m2","55,6 m²",,Đông - Nam,"3,3 tỷ","4,1 m",,Sổ đỏ/ Sổ hồng.,,,,6 m
